DATE	DJCA
1936-10-13	65.07
1936-10-14	64.90
1936-10-15	64.60
1936-10-16	65.22
1936-10-17	65.44
1936-10-19	65.33
1936-10-20	65.05
1936-10-21	65.13
1936-10-22	64.56
1936-10-23	64.74
1936-10-24	64.81
1936-10-26	63.44
1936-10-27	64.18
1936-10-28	64.32
1936-10-29	65.12
1936-10-30	65.34
1936-10-31	65.29
1936-11-02	64.78
1936-11-04	65.35
1936-11-05	66.11
1936-11-06	65.76
1936-11-07	66.20
1936-11-09	66.38
1936-11-10	66.25
1936-11-12	65.71
1936-11-13	65.15
1936-11-14	64.84
1936-11-16	65.43
1936-11-17	66.30
1936-11-18	66.01
1936-11-19	65.29
1936-11-20	64.74
1936-11-21	65.30
1936-11-23	63.97
1936-11-24	64.82
1936-11-25	64.64
1936-11-27	65.60
1936-11-28	65.72
1936-11-30	65.56
1936-12-01	65.14
1936-12-02	64.51
1936-12-03	64.79
1936-12-04	64.64
1936-12-05	64.72
1936-12-07	64.29
1936-12-08	64.53
1936-12-09	64.89
1936-12-10	65.20
1936-12-11	64.81
1936-12-12	64.79
1936-12-14	65.07
1936-12-15	65.05
1936-12-16	64.95
1936-12-17	64.66
1936-12-18	64.12
1936-12-19	63.21
1936-12-21	62.44
1936-12-22	62.82
1936-12-23	63.21
1936-12-24	63.45
1936-12-28	62.91
1936-12-29	63.07
1936-12-30	64.24
1936-12-31	64.07
1937-01-02	63.63
1937-01-04	63.43
1937-01-05	63.94
1937-01-06	64.10
1937-01-07	65.23
1937-01-08	65.70
1937-01-09	65.57
1937-01-11	65.83
1937-01-12	65.97
1937-01-13	66.10
1937-01-14	66.06
1937-01-15	66.30
1937-01-16	66.80
1937-01-18	66.52
1937-01-19	66.16
1937-01-20	66.73
1937-01-21	67.10
1937-01-22	66.81
1937-01-23	66.87
1937-01-25	66.25
1937-01-26	65.26
1937-01-27	65.69
1937-01-28	65.37
1937-01-29	65.70
1937-01-30	66.02
1937-02-01	66.14
1937-02-02	66.66
1937-02-03	67.00
1937-02-04	66.98
1937-02-05	66.13
1937-02-06	66.76
1937-02-08	67.05
1937-02-09	66.93
1937-02-10	67.52
1937-02-11	67.71
1937-02-13	67.60
1937-02-15	67.05
1937-02-16	67.07
1937-02-17	67.16
1937-02-18	67.13
1937-02-19	67.60
1937-02-20	67.56
1937-02-23	66.36
1937-02-24	66.68
1937-02-25	66.41
1937-02-26	66.61
1937-02-27	66.72
1937-03-01	66.86
1937-03-02	67.57
1937-03-03	68.65
1937-03-04	68.37
1937-03-05	69.25
1937-03-06	69.57
1937-03-08	69.13
1937-03-09	69.28
1937-03-10	69.67
1937-03-11	68.84
1937-03-12	68.47
1937-03-13	68.24
1937-03-15	67.96
1937-03-16	68.38
1937-03-17	68.50
1937-03-18	67.07
1937-03-19	67.04
1937-03-20	66.95
1937-03-22	65.10
1937-03-23	65.93
1937-03-24	66.50
1937-03-25	66.22
1937-03-27	66.47
1937-03-29	66.21
1937-03-30	67.25
1937-03-31	67.01
1937-04-01	66.47
1937-04-02	65.60
1937-04-03	65.88
1937-04-05	66.11
1937-04-06	65.66
1937-04-07	63.91
1937-04-08	64.01
1937-04-09	64.26
1937-04-10	64.10
1937-04-12	64.61
1937-04-13	65.46
1937-04-14	65.48
1937-04-15	65.24
1937-04-16	65.13
1937-04-17	64.98
1937-04-19	65.17
1937-04-20	65.42
1937-04-21	66.08
1937-04-22	65.33
1937-04-23	64.34
1937-04-24	63.74
1937-04-26	61.75
1937-04-27	62.61
1937-04-28	60.98
1937-04-29	61.17
1937-04-30	62.63
1937-05-01	62.60
1937-05-03	62.67
1937-05-04	63.52
1937-05-05	63.00
1937-05-06	63.59
1937-05-07	63.63
1937-05-08	63.40
1937-05-10	62.28
1937-05-11	62.17
1937-05-12	61.99
1937-05-13	60.25
1937-05-14	60.87
1937-05-15	60.99
1937-05-17	60.27
1937-05-18	61.01
1937-05-19	60.88
1937-05-20	62.14
1937-05-21	62.21
1937-05-22	62.69
1937-05-24	62.80
1937-05-25	61.87
1937-05-26	61.79
1937-05-27	61.80
1937-05-28	61.91
1937-06-01	60.91
1937-06-02	61.20
1937-06-03	61.28
1937-06-04	61.96
1937-06-05	62.00
1937-06-07	61.56
1937-06-08	61.78
1937-06-09	61.50
1937-06-10	61.28
1937-06-11	60.37
1937-06-12	59.94
1937-06-14	58.48
1937-06-15	59.08
1937-06-16	58.53
1937-06-17	59.04
1937-06-18	59.33
1937-06-19	59.19
1937-06-21	58.79
1937-06-22	58.92
1937-06-23	59.11
1937-06-24	59.35
1937-06-25	59.06
1937-06-26	58.37
1937-06-28	57.57
1937-06-29	57.79
1937-06-30	58.71
1937-07-01	58.98
1937-07-02	59.75
1937-07-06	61.45
1937-07-07	61.94
1937-07-08	62.04
1937-07-09	61.83
1937-07-10	61.57
1937-07-12	62.23
1937-07-13	61.90
1937-07-14	61.89
1937-07-15	62.19
1937-07-16	62.02
1937-07-17	62.04
1937-07-19	62.89
1937-07-20	63.65
1937-07-21	63.29
1937-07-22	63.50
1937-07-23	63.83
1937-07-24	64.36
1937-07-26	64.20
1937-07-27	63.95
1937-07-28	63.23
1937-07-29	63.11
1937-07-30	63.35
1937-07-31	63.76
1937-08-02	63.92
1937-08-03	63.42
1937-08-04	63.94
1937-08-05	63.62
1937-08-06	63.27
1937-08-07	63.60
1937-08-09	63.80
1937-08-10	63.82
1937-08-11	63.69
1937-08-12	64.07
1937-08-13	64.54
1937-08-14	64.81
1937-08-16	64.43
1937-08-17	64.12
1937-08-18	63.54
1937-08-19	62.93
1937-08-20	62.18
1937-08-21	62.47
1937-08-23	61.96
1937-08-24	62.14
1937-08-25	61.89
1937-08-26	60.57
1937-08-27	59.84
1937-08-28	59.87
1937-08-30	60.42
1937-08-31	60.26
1937-09-01	58.75
1937-09-02	57.90
1937-09-03	58.28
1937-09-04	58.45
1937-09-07	55.39
1937-09-08	54.90
1937-09-09	56.06
1937-09-10	53.08
1937-09-11	53.74
1937-09-13	52.70
1937-09-14	54.31
1937-09-15	54.22
1937-09-16	55.40
1937-09-17	54.34
1937-09-18	52.99
1937-09-20	52.48
1937-09-21	52.90
1937-09-22	53.08
1937-09-23	51.85
1937-09-24	49.68
1937-09-25	49.44
1937-09-27	51.12
1937-09-28	51.58
1937-09-29	52.08
1937-09-30	52.03
1937-10-01	51.69
1937-10-02	51.84
1937-10-04	51.19
1937-10-05	48.65
1937-10-06	49.52
1937-10-07	49.26
1937-10-08	48.14
1937-10-09	48.19
1937-10-11	46.28
1937-10-13	46.05
1937-10-14	45.36
1937-10-15	44.86
1937-10-16	44.91
1937-10-18	41.52
1937-10-19	41.57
1937-10-20	44.54
1937-10-21	45.64
1937-10-22	44.86
1937-10-23	42.61
1937-10-25	45.04
1937-10-26	44.28
1937-10-27	44.02
1937-10-28	45.12
1937-10-29	46.33
1937-10-30	46.22
1937-11-01	45.40
1937-11-03	43.46
1937-11-04	43.17
1937-11-05	43.30
1937-11-06	42.13
1937-11-08	41.89
1937-11-09	42.65
1937-11-10	44.94
1937-11-12	45.07
1937-11-13	45.18
1937-11-15	43.88
1937-11-16	43.57
1937-11-17	43.32
1937-11-18	42.58
1937-11-19	40.05
1937-11-20	41.10
1937-11-22	39.12
1937-11-23	39.51
1937-11-24	38.87
1937-11-26	40.57
1937-11-27	42.31
1937-11-29	41.66
1937-11-30	42.31
1937-12-01	41.69
1937-12-02	42.49
1937-12-03	43.19
1937-12-04	43.29
1937-12-06	42.71
1937-12-07	43.19
1937-12-08	43.76
1937-12-09	43.21
1937-12-10	42.81
1937-12-11	42.88
1937-12-13	41.58
1937-12-14	41.68
1937-12-15	41.88
1937-12-16	42.34
1937-12-17	42.06
1937-12-18	42.59
1937-12-20	43.38
1937-12-21	43.60
1937-12-22	43.07
1937-12-23	42.69
1937-12-24	42.52
1937-12-27	41.21
1937-12-28	39.62
1937-12-29	39.92
1937-12-30	40.43
1937-12-31	40.30
1938-01-03	40.24
1938-01-04	41.37
1938-01-05	41.20
1938-01-06	42.68
1938-01-07	42.47
1938-01-08	43.37
1938-01-10	44.23
1938-01-11	44.42
1938-01-12	44.19
1938-01-13	43.68
1938-01-14	43.80
1938-01-15	44.42
1938-01-17	43.65
1938-01-18	43.18
1938-01-19	42.54
1938-01-20	43.25
1938-01-21	42.64
1938-01-22	42.43
1938-01-24	42.43
1938-01-25	41.91
1938-01-26	40.33
1938-01-27	39.71
1938-01-28	39.31
1938-01-29	39.20
1938-01-31	39.76
1938-02-01	40.42
1938-02-02	40.01
1938-02-03	38.51
1938-02-04	39.10
1938-02-05	39.76
1938-02-07	39.24
1938-02-08	40.46
1938-02-09	40.39
1938-02-10	40.78
1938-02-11	40.58
1938-02-14	40.93
1938-02-15	40.65
1938-02-16	40.55
1938-02-17	41.41
1938-02-18	40.92
1938-02-19	41.24
1938-02-21	41.96
1938-02-23	43.05
1938-02-24	42.55
1938-02-25	42.87
1938-02-26	42.73
1938-02-28	42.17
1938-03-01	42.41
1938-03-02	42.03
1938-03-03	41.62
1938-03-04	41.39
1938-03-05	41.28
1938-03-07	40.52
1938-03-08	40.34
1938-03-09	40.31
1938-03-10	39.81
1938-03-11	39.04
1938-03-12	39.14
1938-03-14	39.54
1938-03-15	40.47
1938-03-16	38.93
1938-03-17	38.52
1938-03-18	37.37
1938-03-19	37.88
1938-03-21	37.79
1938-03-22	36.74
